,stereo-name,orig-name,ext-stereo-smiles,stereo-smiles,chi,orig-inchi,charge,mult
22,CHOCHO,CHOCHO,O=CC=O,O=CC=O,InChI=1S/C2H2O2/c3-1-2-4/h1-2H,InChI=1S/C2H2O2/c3-1-2-4/h1-2H,0,1
23,C2H3,C2H3,[CH]=C,[CH]=C,"InChI=1S/C2H3/c1-2/h1H,2H2","InChI=1S/C2H3/c1-2/h1H,2H2",0,2
24,CH2CHO,CH2CHO,C=C[O],C=C[O],"InChI=1S/C2H3O/c1-2-3/h2H,1H2","InChI=1S/C2H3O/c1-2-3/h2H,1H2",0,2
25,CH3CO,CH3CO,C[C]=O,C[C]=O,InChI=1S/C2H3O/c1-2-3/h1H3,InChI=1S/C2H3O/c1-2-3/h1H3,0,2
26,CH3CO3,CH3CO3,CC(=O)O[O],CC(=O)O[O],InChI=1S/C2H3O3/c1-2(3)5-4/h1H3,InChI=1S/C2H3O3/c1-2(3)5-4/h1H3,0,2
27,C2H4,C2H4,C=C,C=C,InChI=1S/C2H4/c1-2/h1-2H2,InChI=1S/C2H4/c1-2/h1-2H2,0,1
28,CH3CHO,CH3CHO,CC=O,CC=O,"InChI=1S/C2H4O/c1-2-3/h2H,1H3","InChI=1S/C2H4O/c1-2-3/h2H,1H3",0,1
29,CH3CO3H,CH3CO3H,CC(=O)OO,CC(=O)OO,"InChI=1S/C2H4O3/c1-2(3)5-4/h4H,1H3","InChI=1S/C2H4O3/c1-2(3)5-4/h4H,1H3",0,1
30,HO2CH2CHO,HO2CH2CHO,O=CCOO,O=CCOO,"InChI=1S/C2H4O3/c3-1-2-5-4/h1,4H,2H2","InChI=1S/C2H4O3/c3-1-2-5-4/h1,4H,2H2",0,1
31,C2H4O2H,C2H4O2H,[CH2]COO,[CH2]COO,"InChI=1S/C2H5O2/c1-2-4-3/h3H,1-2H2","InChI=1S/C2H5O2/c1-2-4-3/h3H,1-2H2",0,2
32,C2H5,C2H5,[CH2]C,[CH2]C,"InChI=1S/C2H5/c1-2/h1H2,2H3","InChI=1S/C2H5/c1-2/h1H2,2H3",0,2
33,C2H5O,C2H5O,CC[O],CC[O],"InChI=1S/C2H5O/c1-2-3/h2H2,1H3","InChI=1S/C2H5O/c1-2-3/h2H2,1H3",0,2
34,C2H5O2,C2H5O2,CCO[O],CCO[O],"InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3","InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3",0,2
35,PC2H4OH,PC2H4OH,[CH2]CO,[CH2]CO,"InChI=1S/C2H5O/c1-2-3/h3H,1-2H2","InChI=1S/C2H5O/c1-2-3/h3H,1-2H2",0,2
36,SC2H4OH,SC2H4OH,C[CH]O,C[CH]O,"InChI=1S/C2H5O/c1-2-3/h2-3H,1H3","InChI=1S/C2H5O/c1-2-3/h2-3H,1H3",0,2
37,C2H5O2H,C2H5O2H,CCOO,CCOO,"InChI=1S/C2H6O2/c1-2-4-3/h3H,2H2,1H3","InChI=1S/C2H6O2/c1-2-4-3/h3H,2H2,1H3",0,1
38,C2H5OH,C2H5OH,CCO,CCO,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0,1
39,C2H6,C2H6,CC,CC,InChI=1S/C2H6/c1-2/h1-2H3,InChI=1S/C2H6/c1-2/h1-2H3,0,1
40,C2H3CO,C2H3CO,C=C[C]=O,C=C[C]=O,"InChI=1S/C3H3O/c1-2-3-4/h2H,1H2","InChI=1S/C3H3O/c1-2-3-4/h2H,1H2",0,2
41,C3H3,C3H3,C#C[CH2],C#C[CH2],"InChI=1S/C3H3/c1-3-2/h1H,2H2","InChI=1S/C3H3/c1-3-2/h1H,2H2",0,2
42,C2H3CHO,C2H3CHO,C=CC=O,C=CC=O,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2","InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2",0,1
43,C3H4-A,C3H4-A,C=C=C,C=C=C,InChI=1S/C3H4/c1-3-2/h1-2H2,InChI=1S/C3H4/c1-3-2/h1-2H2,0,1
44,C3H4-P,C3H4-P,C#CC,C#CC,"InChI=1S/C3H4/c1-3-2/h1H,2H3","InChI=1S/C3H4/c1-3-2/h1H,2H3",0,1
45,C2H5CO,C2H5CO,CC[C]=O,CC[C]=O,"InChI=1S/C3H5O/c1-2-3-4/h2H2,1H3","InChI=1S/C3H5O/c1-2-3-4/h2H2,1H3",0,2
46,C2H5CO3,C2H5CO3,CCC(=O)O[O],CCC(=O)O[O],"InChI=1S/C3H5O3/c1-2-3(4)6-5/h2H2,1H3","InChI=1S/C3H5O3/c1-2-3(4)6-5/h2H2,1H3",0,2
47,C3H5-A,C3H5-A,C=C[CH2],C=C[CH2],"InChI=1S/C3H5/c1-3-2/h3H,1-2H2","InChI=1S/C3H5/c1-3-2/h3H,1-2H2",0,2
48,C3H5-S-Z,C3H5-S,[H]/[C]=C\C,[H]/[C]=C\C,"AMChI=1/C3H5/c1-3-2/h1,3H,2H3/b3-1-","InChI=1S/C3H5/c1-3-2/h1,3H,2H3",0,2
49,C3H5-S-E,C3H5-S,[H]/[C]=C/C,[H]/[C]=C/C,"AMChI=1/C3H5/c1-3-2/h1,3H,2H3/b3-1+","InChI=1S/C3H5/c1-3-2/h1,3H,2H3",0,2
50,C3H5-T,C3H5-T,C=[C]C,C=[C]C,"InChI=1S/C3H5/c1-3-2/h1H2,2H3","InChI=1S/C3H5/c1-3-2/h1H2,2H3",0,2
51,CH2CCH2OH,CH2CCH2OH,C=[C]CO,C=[C]CO,"InChI=1S/C3H5O/c1-2-3-4/h4H,1,3H2","InChI=1S/C3H5O/c1-2-3-4/h4H,1,3H2",0,2
52,CH2CH2CHO,CH2CH2CHO,[CH2]CC=O,[CH2]CC=O,"InChI=1S/C3H5O/c1-2-3-4/h3H,1-2H2","InChI=1S/C3H5O/c1-2-3-4/h3H,1-2H2",0,2
53,CH3CHCHO-Z,CH3CHCHO,C/C=C\[O],C/C=C\[O],"AMChI=1/C3H5O/c1-2-3-4/h2-3H,1H3/b3-2-","InChI=1S/C3H5O/c1-2-3-4/h2-3H,1H3",0,2
54,CH3CHCHO-E,CH3CHCHO,C/C=C/[O],C/C=C/[O],"AMChI=1/C3H5O/c1-2-3-4/h2-3H,1H3/b3-2+","InChI=1S/C3H5O/c1-2-3-4/h2-3H,1H3",0,2
55,CH3COCH2,CH3COCH2,C=C(C)[O],C=C(C)[O],"InChI=1S/C3H5O/c1-3(2)4/h1H2,2H3","InChI=1S/C3H5O/c1-3(2)4/h1H2,2H3",0,2
56,CH3COCH2O2,CH3COCH2O2,CC(CO[O])=O,CC(CO[O])=O,"InChI=1S/C3H5O3/c1-3(4)2-6-5/h2H2,1H3","InChI=1S/C3H5O3/c1-3(4)2-6-5/h2H2,1H3",0,2
57,AC3H5OOH,AC3H5OOH,C=CCOO,C=CCOO,"InChI=1S/C3H6O2/c1-2-3-5-4/h2,4H,1,3H2","InChI=1S/C3H6O2/c1-2-3-5-4/h2,4H,1,3H2",0,1
58,C2H5CHO,C2H5CHO,CCC=O,CCC=O,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3","InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3",0,1
59,C2H5CO3H,C2H5CO3H,CCC(=O)OO,CCC(=O)OO,"InChI=1S/C3H6O3/c1-2-3(4)6-5/h5H,2H2,1H3","InChI=1S/C3H6O3/c1-2-3(4)6-5/h5H,2H2,1H3",0,1
60,C3H5OH,C3H5OH,C=CCO,C=CCO,"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2","InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2",0,1
61,C3H6,C3H6,C=CC,C=CC,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3","InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3",0,1
62,C3KET12-A0,C3KET12,C[C@@H](C=O)OO,C[C@@H](C=O)OO,"InChI=1S/C3H6O3/c1-3(2-4)6-5/h2-3,5H,1H3/t3-/m0/s1","InChI=1S/C3H6O3/c1-3(2-4)6-5/h2-3,5H,1H3",0,1
63,C3KET12-A1,C3KET12,C[C@H](C=O)OO,C[C@H](C=O)OO,"InChI=1S/C3H6O3/c1-3(2-4)6-5/h2-3,5H,1H3/t3-/m1/s1","InChI=1S/C3H6O3/c1-3(2-4)6-5/h2-3,5H,1H3",0,1
64,C3KET13,C3KET13,O=CCCOO,O=CCCOO,"InChI=1S/C3H6O3/c4-2-1-3-6-5/h2,5H,1,3H2","InChI=1S/C3H6O3/c4-2-1-3-6-5/h2,5H,1,3H2",0,1
65,C3KET21,C3KET21,CC(COO)=O,CC(COO)=O,"InChI=1S/C3H6O3/c1-3(4)2-6-5/h5H,2H2,1H3","InChI=1S/C3H6O3/c1-3(4)2-6-5/h5H,2H2,1H3",0,1
66,CH3COCH3,CH3COCH3,CC(C)=O,CC(C)=O,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,0,1
67,"C3H51-2,3OOH-A0","C3H51-2,3OOH",[CH2][C@@H](COO)OO,[CH2][C@@H](COO)OO,"InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3-5H,1-2H2/t3-/m0/s1","InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3-5H,1-2H2",0,2
68,"C3H51-2,3OOH-A1","C3H51-2,3OOH",[CH2][C@H](COO)OO,[CH2][C@H](COO)OO,"InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3-5H,1-2H2/t3-/m1/s1","InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3-5H,1-2H2",0,2
69,"C3H52-1,3OOH","C3H52-1,3OOH",OOC[CH]COO,OOC[CH]COO,"InChI=1S/C3H7O4/c4-6-2-1-3-7-5/h1,4-5H,2-3H2","InChI=1S/C3H7O4/c4-6-2-1-3-7-5/h1,4-5H,2-3H2",0,2
70,C3H6OOH1-2,C3H6OOH1-2,C[CH]COO,C[CH]COO,"InChI=1S/C3H7O2/c1-2-3-5-4/h2,4H,3H2,1H3","InChI=1S/C3H7O2/c1-2-3-5-4/h2,4H,3H2,1H3",0,2
71,C3H6OOH1-3,C3H6OOH1-3,[CH2]CCOO,[CH2]CCOO,"InChI=1S/C3H7O2/c1-2-3-5-4/h4H,1-3H2","InChI=1S/C3H7O2/c1-2-3-5-4/h4H,1-3H2",0,2
72,C3H6OOH2-1-A0,C3H6OOH2-1,[CH2][C@@H](C)OO,[CH2][C@@H](C)OO,"InChI=1S/C3H7O2/c1-3(2)5-4/h3-4H,1H2,2H3/t3-/m0/s1","InChI=1S/C3H7O2/c1-3(2)5-4/h3-4H,1H2,2H3",0,2
73,C3H6OOH2-1-A1,C3H6OOH2-1,[CH2][C@H](C)OO,[CH2][C@H](C)OO,"InChI=1S/C3H7O2/c1-3(2)5-4/h3-4H,1H2,2H3/t3-/m1/s1","InChI=1S/C3H7O2/c1-3(2)5-4/h3-4H,1H2,2H3",0,2
74,IC3H7,IC3H7,C[CH]C,C[CH]C,"InChI=1S/C3H7/c1-3-2/h3H,1-2H3","InChI=1S/C3H7/c1-3-2/h3H,1-2H3",0,2
75,IC3H7O2,IC3H7O2,CC(C)O[O],CC(C)O[O],"InChI=1S/C3H7O2/c1-3(2)5-4/h3H,1-2H3","InChI=1S/C3H7O2/c1-3(2)5-4/h3H,1-2H3",0,2
76,NC3H7,NC3H7,[CH2]CC,[CH2]CC,"InChI=1S/C3H7/c1-3-2/h1,3H2,2H3","InChI=1S/C3H7/c1-3-2/h1,3H2,2H3",0,2
77,NC3H7O2,NC3H7O2,CCCO[O],CCCO[O],"InChI=1S/C3H7O2/c1-2-3-5-4/h2-3H2,1H3","InChI=1S/C3H7O2/c1-2-3-5-4/h2-3H2,1H3",0,2
78,QC3H5OHP-A0,QC3H5OHP,[CH2][C@@H](CO)OO,[CH2][C@@H](CO)OO,"InChI=1S/C3H7O3/c1-3(2-4)6-5/h3-5H,1-2H2/t3-/m0/s1","InChI=1S/C3H7O3/c1-3(2-4)6-5/h3-5H,1-2H2",0,2
79,QC3H5OHP-A1,QC3H5OHP,[CH2][C@H](CO)OO,[CH2][C@H](CO)OO,"InChI=1S/C3H7O3/c1-3(2-4)6-5/h3-5H,1-2H2/t3-/m1/s1","InChI=1S/C3H7O3/c1-3(2-4)6-5/h3-5H,1-2H2",0,2
80,TQC3H5OHI-A0,TQC3H5OHI,C[C@@H]([CH]O)OO,C[C@@H]([CH]O)OO,"InChI=1S/C3H7O3/c1-3(2-4)6-5/h2-5H,1H3/t3-/m0/s1","InChI=1S/C3H7O3/c1-3(2-4)6-5/h2-5H,1H3",0,2
81,TQC3H5OHI-A1,TQC3H5OHI,C[C@H]([CH]O)OO,C[C@H]([CH]O)OO,"InChI=1S/C3H7O3/c1-3(2-4)6-5/h2-5H,1H3/t3-/m1/s1","InChI=1S/C3H7O3/c1-3(2-4)6-5/h2-5H,1H3",0,2
82,C3H8,C3H8,CCC,CCC,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3","InChI=1S/C3H8/c1-3-2/h3H2,1-2H3",0,1
83,IC3H7O2H,IC3H7O2H,CC(C)OO,CC(C)OO,"InChI=1S/C3H8O2/c1-3(2)5-4/h3-4H,1-2H3","InChI=1S/C3H8O2/c1-3(2)5-4/h3-4H,1-2H3",0,1
84,NC3H7O2H,NC3H7O2H,CCCOO,CCCOO,"InChI=1S/C3H8O2/c1-2-3-5-4/h4H,2-3H2,1H3","InChI=1S/C3H8O2/c1-2-3-5-4/h4H,2-3H2,1H3",0,1
85,C4H2,C4H2,C#CC#C,C#CC#C,InChI=1S/C4H2/c1-3-4-2/h1-2H,InChI=1S/C4H2/c1-3-4-2/h1-2H,0,1
86,C4H5-I,C4H5-I,C=C[C]=C,C=[C]C=C,"InChI=1S/C4H5/c1-3-4-2/h3H,1-2H2","InChI=1S/C4H5/c1-3-4-2/h3H,1-2H2",0,2
87,C4H5-N-Z,C4H5-N,[H]/[C]=C\C=C,[H]/[C]=C\C=C,"AMChI=1/C4H5/c1-3-4-2/h1,3-4H,2H2/b3-1-","InChI=1S/C4H5/c1-3-4-2/h1,3-4H,2H2",0,2
88,C4H5-N-E,C4H5-N,[H]/[C]=C/C=C,[H]/[C]=C/C=C,"AMChI=1/C4H5/c1-3-4-2/h1,3-4H,2H2/b3-1+","InChI=1S/C4H5/c1-3-4-2/h1,3-4H,2H2",0,2
89,CH2CHCHCHO-ZZ,CH2CHCHCHO,[CH2]/C=/C\C=\O,[CH2]/C=C\C=O,"AMChI=1/C4H5O/c1-2-3-4-5/h2-4H,1H2/b3-2-,4-3-","InChI=1S/C4H5O/c1-2-3-4-5/h2-4H,1H2",0,2
90,CH2CHCHCHO-ZE,CH2CHCHCHO,[CH2]/C=/C\C=/O,[CH2]/C=C\C=O,"AMChI=1/C4H5O/c1-2-3-4-5/h2-4H,1H2/b3-2-,4-3+","InChI=1S/C4H5O/c1-2-3-4-5/h2-4H,1H2",0,2
91,CH2CHCHCHO-EZ,CH2CHCHCHO,[CH2]/C=/C/C=\O,[CH2]/C=C/C=O,"AMChI=1/C4H5O/c1-2-3-4-5/h2-4H,1H2/b3-2+,4-3-","InChI=1S/C4H5O/c1-2-3-4-5/h2-4H,1H2",0,2
92,CH2CHCHCHO-EE,CH2CHCHCHO,[CH2]/C=/C/C=/O,[CH2]/C=C/C=O,"AMChI=1/C4H5O/c1-2-3-4-5/h2-4H,1H2/b3-2+,4-3+","InChI=1S/C4H5O/c1-2-3-4-5/h2-4H,1H2",0,2
93,SC3H5CO-Z,SC3H5CO,C/C=C\[C]=O,C/C=C\[C]=O,"AMChI=1/C4H5O/c1-3-4-2-5/h3-4H,1H3/b4-3-","InChI=1S/C4H5O/c1-2-3-4-5/h2-3H,1H3",0,2
94,SC3H5CO-E,SC3H5CO,C/C=C/[C]=O,C/C=C/[C]=O,"AMChI=1/C4H5O/c1-3-4-2-5/h3-4H,1H3/b4-3+","InChI=1S/C4H5O/c1-2-3-4-5/h2-3H,1H3",0,2
95,AC3H5CHO,AC3H5CHO,C=CCC=O,C=CCC=O,"InChI=1S/C4H6O/c1-2-3-4-5/h2,4H,1,3H2","InChI=1S/C4H6O/c1-2-3-4-5/h2,4H,1,3H2",0,1
96,C2H3COCH3,C2H3COCH3,C=CC(C)=O,C=CC(C)=O,"InChI=1S/C4H6O/c1-3-4(2)5/h3H,1H2,2H3","InChI=1S/C4H6O/c1-3-4(2)5/h3H,1H2,2H3",0,1
97,C4H6,C4H6,C=CC=C,C=CC=C,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2","InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2",0,1
98,C4H612,C4H612,C=C=CC,C=C=CC,"InChI=1S/C4H6/c1-3-4-2/h4H,1H2,2H3","InChI=1S/C4H6/c1-3-4-2/h4H,1H2,2H3",0,1
99,IC3H5CHO,IC3H5CHO,C=C(C)C=O,C=C(C)C=O,"InChI=1S/C4H6O/c1-4(2)3-5/h3H,1H2,2H3","InChI=1S/C4H6O/c1-4(2)3-5/h3H,1H2,2H3",0,1
100,SC3H5CHO-Z,SC3H5CHO,C/C=C\C=O,C/C=C\C=O,"InChI=1S/C4H6O/c1-2-3-4-5/h2-4H,1H3/b3-2-","InChI=1S/C4H6O/c1-2-3-4-5/h2-4H,1H3",0,1
101,SC3H5CHO-E,SC3H5CHO,C/C=C/C=O,C/C=C/C=O,"InChI=1S/C4H6O/c1-2-3-4-5/h2-4H,1H3/b3-2+","InChI=1S/C4H6O/c1-2-3-4-5/h2-4H,1H3",0,1
102,C2H4COCH2OH-Z,C2H4COCH2OH,C/C=C(CO)\[O],C/C=C(CO)\[O],"AMChI=1/C4H7O2/c1-2-4(5)3-6/h2,6H,3H2,1H3/b4-2-","InChI=1S/C4H7O2/c1-2-4(6)3-5/h2,5H,3H2,1H3",0,2
103,C2H4COCH2OH-E,C2H4COCH2OH,C/C=C(CO)/[O],C/C=C(CO)/[O],"AMChI=1/C4H7O2/c1-2-4(5)3-6/h2,6H,3H2,1H3/b4-2+","InChI=1S/C4H7O2/c1-2-4(6)3-5/h2,5H,3H2,1H3",0,2
104,C2H5CHOHCO-A1,C2H5CHOHCO,CC[C@H]([C]=O)O,CC[C@H]([C]=O)O,"InChI=1S/C4H7O2/c1-2-4(6)3-5/h4,6H,2H2,1H3/t4-/m1/s1","InChI=1S/C4H7O2/c1-2-4(6)3-5/h4,6H,2H2,1H3",0,2
105,C2H5CHOHCO-A0,C2H5CHOHCO,CC[C@@H]([C]=O)O,CC[C@@H]([C]=O)O,"InChI=1S/C4H7O2/c1-2-4(6)3-5/h4,6H,2H2,1H3/t4-/m0/s1","InChI=1S/C4H7O2/c1-2-4(6)3-5/h4,6H,2H2,1H3",0,2
106,C2H5COCH2,C2H5COCH2,CCC([CH2])=O,[CH2]C(CC)=O,"InChI=1S/C4H7O/c1-3-4(2)5/h2-3H2,1H3","InChI=1S/C4H7O/c1-3-4(2)5/h2-3H2,1H3",0,2
107,C3H6CHO-3,C3H6CHO-3,[CH2]CCC=O,[CH2]CCC=O,"InChI=1S/C4H7O/c1-2-3-4-5/h4H,1-3H2","InChI=1S/C4H7O/c1-2-3-4-5/h4H,1-3H2",0,2
108,C3H6CHO-2,C3H6CHO-2,C[CH]CC=O,C[CH]CC=O,"InChI=1S/C4H7O/c1-2-3-4-5/h2,4H,3H2,1H3","InChI=1S/C4H7O/c1-2-3-4-5/h2,4H,3H2,1H3",0,2
109,C3H6CHO-1-Z,C3H6CHO-1,CC/C=C\[O],CC/C=C\[O],"AMChI=1/C4H7O/c1-4-2-3-5/h2-3H,4H2,1H3/b3-2-","InChI=1S/C4H7O/c1-2-3-4-5/h3-4H,2H2,1H3",0,2
110,C3H6CHO-1-E,C3H6CHO-1,CC/C=C/[O],CC/C=C/[O],"AMChI=1/C4H7O/c1-4-2-3-5/h2-3H,4H2,1H3/b3-2+","InChI=1S/C4H7O/c1-2-3-4-5/h3-4H,2H2,1H3",0,2
111,C4H71-1-Z,C4H71-1,[H]/[C]=C\CC,[H]/[C]=C\CC,"AMChI=1/C4H7/c1-3-4-2/h1,3H,4H2,2H3/b3-1-","InChI=1S/C4H7/c1-3-4-2/h1,3H,4H2,2H3",0,2
112,C4H71-1-E,C4H71-1,[H]/[C]=C/CC,[H]/[C]=C/CC,"AMChI=1/C4H7/c1-3-4-2/h1,3H,4H2,2H3/b3-1+","InChI=1S/C4H7/c1-3-4-2/h1,3H,4H2,2H3",0,2
113,C4H71-2,C4H71-2,C=[C]CC,C=[C]CC,"InChI=1S/C4H7/c1-3-4-2/h1,4H2,2H3","InChI=1S/C4H7/c1-3-4-2/h1,4H2,2H3",0,2
114,C4H71-3-Z,C4H71-3,[CH2]/C=C\C,[CH2]/C=C\C,"AMChI=1/C4H7/c1-3-4-2/h3-4H,1H2,2H3/b4-3-","InChI=1S/C4H7/c1-3-4-2/h3-4H,1H2,2H3",0,2
115,C4H71-3-E,C4H71-3,[CH2]/C=C/C,[CH2]/C=C/C,"AMChI=1/C4H7/c1-3-4-2/h3-4H,1H2,2H3/b4-3+","InChI=1S/C4H7/c1-3-4-2/h3-4H,1H2,2H3",0,2
116,C4H71-4,C4H71-4,C=CC[CH2],C=CC[CH2],"InChI=1S/C4H7/c1-3-4-2/h3H,1-2,4H2","InChI=1S/C4H7/c1-3-4-2/h3H,1-2,4H2",0,2
117,C4H72-2-Z,C4H72-2,C/[C]=C\C,C/[C]=C\C,"AMChI=1/C4H7/c1-3-4-2/h4H,1-2H3/b4-3-","InChI=1S/C4H7/c1-3-4-2/h3H,1-2H3",0,2
118,C4H72-2-E,C4H72-2,C/[C]=C/C,C/[C]=C/C,"AMChI=1/C4H7/c1-3-4-2/h4H,1-2H3/b4-3+","InChI=1S/C4H7/c1-3-4-2/h3H,1-2H3",0,2
119,CH2CH2COCH3,CH2CH2COCH3,[CH2]CC(C)=O,[CH2]CC(C)=O,"InChI=1S/C4H7O/c1-3-4(2)5/h1,3H2,2H3","InChI=1S/C4H7O/c1-3-4(2)5/h1,3H2,2H3",0,2
120,CH3CHCOCH3-Z,CH3CHCOCH3,C/C=C(C)\[O],C/C=C(C)\[O],"AMChI=1/C4H7O/c1-3-4(2)5/h3H,1-2H3/b4-3-","InChI=1S/C4H7O/c1-3-4(2)5/h3H,1-2H3",0,2
121,CH3CHCOCH3-E,CH3CHCOCH3,C/C=C(C)/[O],C/C=C(C)/[O],"AMChI=1/C4H7O/c1-3-4(2)5/h3H,1-2H3/b4-3+","InChI=1S/C4H7O/c1-3-4(2)5/h3H,1-2H3",0,2
122,CH3COCOHCH3-Z,CH3COCOHCH3,C/C(=C(C)/O)[O],C/C(=C(C)/O)[O],"AMChI=1/C4H7O2/c1-3(5)4(2)6/h6H,1-2H3/b4-3-","InChI=1S/C4H7O2/c1-3(5)4(2)6/h5H,1-2H3",0,2
123,CH3COCOHCH3-E,CH3COCOHCH3,C/C(=C(C)\O)[O],C/C(=C(C)\O)[O],"AMChI=1/C4H7O2/c1-3(5)4(2)6/h6H,1-2H3/b4-3+","InChI=1S/C4H7O2/c1-3(5)4(2)6/h5H,1-2H3",0,2
124,IC3H6CHO-A0,IC3H6CHO,[CH2][C@@H](C)C=O,[CH2][C@@H](C)C=O,"InChI=1S/C4H7O/c1-4(2)3-5/h3-4H,1H2,2H3/t4-/m0/s1","InChI=1S/C4H7O/c1-4(2)3-5/h3-4H,1H2,2H3",0,2
125,IC3H6CHO-A1,IC3H6CHO,[CH2][C@H](C)C=O,[CH2][C@H](C)C=O,"InChI=1S/C4H7O/c1-4(2)3-5/h3-4H,1H2,2H3/t4-/m1/s1","InChI=1S/C4H7O/c1-4(2)3-5/h3-4H,1H2,2H3",0,2
126,IC3H7CO,IC3H7CO,CC(C)[C]=O,CC(C)[C]=O,"InChI=1S/C4H7O/c1-4(2)3-5/h4H,1-2H3","InChI=1S/C4H7O/c1-4(2)3-5/h4H,1-2H3",0,2
127,IC4H7,IC4H7,[CH2]C(=C)C,[CH2]C(=C)C,"InChI=1S/C4H7/c1-4(2)3/h1-2H2,3H3","InChI=1S/C4H7/c1-4(2)3/h1-2H2,3H3",0,2
128,IC4H7-I1,IC4H7-I1,[CH]=C(C)C,[CH]=C(C)C,"InChI=1S/C4H7/c1-4(2)3/h1H,2-3H3","InChI=1S/C4H7/c1-4(2)3/h1H,2-3H3",0,2
129,NC3H7CO,NC3H7CO,CCC[C]=O,CCC[C]=O,"InChI=1S/C4H7O/c1-2-3-4-5/h2-3H2,1H3","InChI=1S/C4H7O/c1-2-3-4-5/h2-3H2,1H3",0,2
