,stereo-name,orig-name,ext-stereo-smiles,stereo-smiles,chi,orig-inchi,charge,mult
424,I3C7D1-3-Z,I3C7D1-3,[CH2]/C=C(C)\CCC,[CH2]/C=C(C)\CCC,"AMChI=1/C7H13/c1-4-7(3)6-5-2/h4H,1,5-6H2,2-3H3/b7-4-","InChI=1S/C7H13/c1-4-6-7(3)5-2/h5H,2,4,6H2,1,3H3",0,2
425,I3C7D1-3-E,I3C7D1-3,[CH2]/C=C(C)/CCC,[CH2]/C=C(C)/CCC,"AMChI=1/C7H13/c1-4-7(3)6-5-2/h4H,1,5-6H2,2-3H3/b7-4+","InChI=1S/C7H13/c1-4-6-7(3)5-2/h5H,2,4,6H2,1,3H3",0,2
426,I3C8D1-A0,I3C8D1,CCCC[C@@H](C)C=C,C=C[C@H](C)CCCC,"InChI=1S/C8H16/c1-4-6-7-8(3)5-2/h5,8H,2,4,6-7H2,1,3H3/t8-/m0/s1","InChI=1S/C8H16/c1-4-6-7-8(3)5-2/h5,8H,2,4,6-7H2,1,3H3",0,1
427,I3C8D1-A1,I3C8D1,CCCC[C@H](C)C=C,C=C[C@@H](C)CCCC,"InChI=1S/C8H16/c1-4-6-7-8(3)5-2/h5,8H,2,4,6-7H2,1,3H3/t8-/m1/s1","InChI=1S/C8H16/c1-4-6-7-8(3)5-2/h5,8H,2,4,6-7H2,1,3H3",0,1
428,I4C8D2-ZA0,I4C8D2,C/C=C\[C@H](C)CCC,C/C=C\[C@H](C)CCC,"InChI=1S/C8H16/c1-4-6-8(3)7-5-2/h4,6,8H,5,7H2,1-3H3/b6-4-/t8-/m0/s1","InChI=1S/C8H16/c1-4-6-8(3)7-5-2/h4,6,8H,5,7H2,1-3H3",0,1
429,I4C8D2-EA0,I4C8D2,C/C=C/[C@H](C)CCC,C/C=C/[C@H](C)CCC,"InChI=1S/C8H16/c1-4-6-8(3)7-5-2/h4,6,8H,5,7H2,1-3H3/b6-4+/t8-/m0/s1","InChI=1S/C8H16/c1-4-6-8(3)7-5-2/h4,6,8H,5,7H2,1-3H3",0,1
430,I4C8D2-ZA1,I4C8D2,C/C=C\[C@@H](C)CCC,C/C=C\[C@@H](C)CCC,"InChI=1S/C8H16/c1-4-6-8(3)7-5-2/h4,6,8H,5,7H2,1-3H3/b6-4-/t8-/m1/s1","InChI=1S/C8H16/c1-4-6-8(3)7-5-2/h4,6,8H,5,7H2,1-3H3",0,1
431,I4C8D2-EA1,I4C8D2,C/C=C/[C@@H](C)CCC,C/C=C/[C@@H](C)CCC,"InChI=1S/C8H16/c1-4-6-8(3)7-5-2/h4,6,8H,5,7H2,1-3H3/b6-4+/t8-/m1/s1","InChI=1S/C8H16/c1-4-6-8(3)7-5-2/h4,6,8H,5,7H2,1-3H3",0,1
432,IC5D1T3,IC5D1T3,C#CC(=C)C,C#CC(=C)C,"InChI=1S/C5H6/c1-4-5(2)3/h1H,2H2,3H3","InChI=1S/C5H6/c1-4-5(2)3/h1H,2H2,3H3",0,1
433,IC5D1T3-1J,IC5D1T3-1J,C#CC([CH2])=C,C#CC([CH2])=C,"InChI=1S/C5H5/c1-4-5(2)3/h1H,2-3H2","InChI=1S/C5H5/c1-4-5(2)3/h1H,2-3H2",0,2
