,name,smiles,inchi
221,OHCOCOOHCH3,C(O)(=O)C(OO)C,"InChI=1S/C3H6O4/c1-2(7-6)3(4)5/h2,6H,1H3,(H,4,5)"
222,OHCY(COCC)OOH,OOC1COC1O,"InChI=1S/C3H6O4/c4-3-2(7-5)1-6-3/h2-5H,1H2"
223,SC3H5OH,CC=CO,"InChI=1S/C3H6O/c1-2-3-4/h2-4H,1H3"
224,"C3H51-2,3OOH",OOCC(OO)[CH2],"InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3-5H,1-2H2"
225,"C3H52-1,3OOH",OOC[CH]COO,"InChI=1S/C3H7O4/c4-6-2-1-3-7-5/h1,4-5H,2-3H2"
226,C3H6OH1-1,CC[CH]O,"InChI=1S/C3H7O/c1-2-3-4/h3-4H,2H2,1H3"
227,C3H6OH1-2,C[CH]CO,"InChI=1S/C3H7O/c1-2-3-4/h2,4H,3H2,1H3"
228,C3H6OH1-3,[CH2]CCO,"InChI=1S/C3H7O/c1-2-3-4/h4H,1-3H2"
229,C3H6OH2-1,CC(O)[CH2],"InChI=1S/C3H7O/c1-3(2)4/h3-4H,1H2,2H3"
230,C3H6OOH1-2,C[CH]COO,"InChI=1S/C3H7O2/c1-2-3-5-4/h2,4H,3H2,1H3"
231,C3H6OOH1-2O2,OOCC(O[O])C,"InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3-4H,2H2,1H3"
232,C3H6OOH1-3,[CH2]CCOO,"InChI=1S/C3H7O2/c1-2-3-5-4/h4H,1-3H2"
233,C3H6OOH1-3O2,OOCCCO[O],"InChI=1S/C3H7O4/c4-6-2-1-3-7-5/h4H,1-3H2"
234,C3H6OOH2-1,OOC([CH2])C,"InChI=1S/C3H7O2/c1-3(2)5-4/h3-4H,1H2,2H3"
235,C3H6OOH2-1O2,[O]OCC(OO)C,"InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3,5H,2H2,1H3"
236,IC3H7,C[CH]C,"InChI=1S/C3H7/c1-3-2/h3H,1-2H3"
237,IC3H7O,CC(C)[O],"InChI=1S/C3H7O/c1-3(2)4/h3H,1-2H3"
238,IC3H7O2,CC(C)O[O],"InChI=1S/C3H7O2/c1-3(2)5-4/h3H,1-2H3"
239,IQC3H5OHPJ,C(OO)C(O)[CH2],"InChI=1S/C3H7O3/c1-3(4)2-6-5/h3-5H,1-2H2"
240,IQC3H5OHPJO2,C(OO)C(O)C(O[O]),"InChI=1S/C3H7O5/c4-3(1-7-5)2-8-6/h3-5H,1-2H2"
241,IQC3H5OHQ-SJ,[CH](OO)C(O)C(OO),"InChI=1S/C3H7O5/c4-3(1-7-5)2-8-6/h1,3-6H,2H2"
242,IQC3H5OTQ-I,C(OO)C([O])C(OO),"InChI=1S/C3H7O5/c4-3(1-7-5)2-8-6/h3,5-6H,1-2H2"
243,IQC3H6OT,C(OO)C([O])C,"InChI=1S/C3H7O3/c1-3(4)2-6-5/h3,5H,2H2,1H3"
244,IQJC3H6OH,C(O[O])C(O)C,"InChI=1S/C3H7O3/c1-3(4)2-6-5/h3-4H,2H2,1H3"
245,NC3H7,[CH2]CC,"InChI=1S/C3H7/c1-3-2/h1,3H2,2H3"
246,NC3H7O,CCC[O],"InChI=1S/C3H7O/c1-2-3-4/h2-3H2,1H3"
247,NC3H7O2,CCCO[O],"InChI=1S/C3H7O2/c1-2-3-5-4/h2-3H2,1H3"
248,QC3H5OHP,C(O)C(OO)[CH2],"InChI=1S/C3H7O3/c1-3(2-4)6-5/h3-5H,1-2H2"
249,TC3H6OH,C[C](O)C,"InChI=1S/C3H7O/c1-3(2)4/h4H,1-2H3"
250,TQC3H5OHI,[CH](O)C(OO)C,"InChI=1S/C3H7O3/c1-3(2-4)6-5/h2-5H,1H3"
251,TQC3H5OHIO2,C(O)(O[O])C(OO)C,"InChI=1S/C3H7O5/c1-2(7-5)3(4)8-6/h2-5H,1H3"
252,TQC3H5OHIQ-I,C([O])(OO)C(OO)C,"InChI=1S/C3H7O5/c1-2(7-5)3(4)8-6/h2-3,5-6H,1H3"
253,TQC3H5OHIQ-P,C(O)(OO)C(OO)[CH2],"InChI=1S/C3H7O5/c1-2(7-5)3(4)8-6/h2-6H,1H2"
254,TQC3H5OHTO2,C(O)(OO)C(O[O])C,"InChI=1S/C3H7O5/c1-2(7-5)3(4)8-6/h2-4,6H,1H3"
255,TQC3H6OI,CC(OO)C([O]),"InChI=1S/C3H7O3/c1-3(2-4)6-5/h3,5H,2H2,1H3"
256,TQJC3H6OH,CC(O[O])CO,"InChI=1S/C3H7O3/c1-3(2-4)6-5/h3-4H,2H2,1H3"
257,C3H8,CCC,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3"
258,IC3H7O2H,CC(C)OO,"InChI=1S/C3H8O2/c1-3(2)5-4/h3-4H,1-2H3"
259,IC3H7OH,CC(O)C,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3"
260,NC3H7O2H,CCCOO,"InChI=1S/C3H8O2/c1-2-3-5-4/h4H,2-3H2,1H3"
261,NC3H7OH,CCCO,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3"
262,C4H2,C#CC#C,InChI=1S/C4H2/c1-3-4-2/h1-2H
263,H2C4O,O1C=C1C#C,"InChI=1S/C4H2O/c1-2-4-3-5-4/h1,3H"
264,C4H3-I,C=[C]C#C,"InChI=1S/C4H3/c1-3-4-2/h1H,2H2"
265,C4H3-N,[CH]=CC#C,InChI=1S/C4H3/c1-3-4-2/h1-3H
266,IC4YAA-R,C=C([C]=O)C=O,"InChI=1S/C4H3O2/c1-4(2-5)3-6/h2H,1H2"
267,OVCCVCCJVO,O=[C]C=CC=O,InChI=1S/C4H3O2/c5-3-1-2-4-6/h1-3H
268,C3H3CHO,C=C=CC=O,"InChI=1S/C4H4O/c1-2-3-4-5/h3-4H,1H2"
269,C4H4,C=CC#C,"InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2"
270,C4H4O,CC#CC=O,"InChI=1S/C4H4O/c1-2-3-4-5/h4H,1H3"
271,IC4YAA,C=C(C=O)C=O,"InChI=1S/C4H4O2/c1-4(2-5)3-6/h2-3H,1H2"
272,OVCCVCCVO,O=CC=CC=O,InChI=1S/C4H4O2/c5-3-1-2-4-6/h1-4H
273,C2H3COOCH2,C=CC(=O)O[CH2],"InChI=1S/C4H5O2/c1-3-4(5)6-2/h3H,1-2H2"
274,C3H3CH2O,[O]CC=C=C,"InChI=1S/C4H5O/c1-2-3-4-5/h3H,1,4H2"
275,C4H5-1,CCC#[C],"InChI=1S/C4H5/c1-3-4-2/h3H2,1H3"
276,C4H512-OO4,[O]OCC=C=C,"InChI=1S/C4H5O2/c1-2-3-4-6-5/h3H,1,4H2"
277,C4H513-OO2,[O]OC(=C)C=C,"InChI=1S/C4H5O2/c1-3-4(2)6-5/h3H,1-2H2"
278,C4H5-2,C[C]=C=C,"InChI=1S/C4H5/c1-3-4-2/h1H2,2H3"
279,C4H5-3,C[CH]C#C,"InChI=1S/C4H5/c1-3-4-2/h1,4H,2H3"
280,C4H5-4,[CH2]CC#C,"InChI=1S/C4H5/c1-3-4-2/h1H,2,4H2"
281,C4H5-I,C=[C]C=C,"InChI=1S/C4H5/c1-3-4-2/h3H,1-2H2"
282,C4H5-N,C=CC=[CH],"InChI=1S/C4H5/c1-3-4-2/h1,3-4H,2H2"
283,CH2CHCHCHO,[O]C=CC=C,"InChI=1S/C4H5O/c1-2-3-4-5/h2-4H,1H2"
284,CH2CYCOO-CH2,[CH2]C1(OO1)C=C,"InChI=1S/C4H5O2/c1-3-4(2)5-6-4/h3H,1-2H2"
285,CYCCCOO-3J,C=C1[CH]COO1,"InChI=1S/C4H5O2/c1-4-2-3-5-6-4/h2H,1,3H2"
286,CYCOOC-CH2,C=C(O1)C(O1)[CH2],"InChI=1S/C4H5O2/c1-3-4(2)6-5-3/h3H,1-2H2"
